Graphe,Attribut,Fraction,Accuracy,MAE
Princeton12,dorm,0.1,0.3470319634703196,14.992389649923897
Princeton12,dorm,0.2,0.3247148288973384,15.120152091254752
Princeton12,dorm,0.3,0.3341784989858012,15.113083164300203
Princeton12,major,0.1,0.2617960426179604,14.340943683409437
Princeton12,major,0.2,0.26692015209125475,14.465399239543727
Princeton12,major,0.3,0.26115618661257606,14.313894523326573
Princeton12,gender,0.1,0.4246575342465753,0.578386605783866
Princeton12,gender,0.2,0.43498098859315587,0.5756653992395437
Princeton12,gender,0.3,0.4290060851926978,0.579107505070994
Caltech36,dorm,0.1,0.11842105263157894,2.526315789473684
Caltech36,dorm,0.2,0.13157894736842105,2.473684210526316
Caltech36,dorm,0.3,0.12280701754385964,2.4780701754385963
Caltech36,major,0.1,0.07894736842105263,8.986842105263158
Caltech36,major,0.2,0.08552631578947369,9.0
Caltech36,major,0.3,0.08333333333333333,8.780701754385966
Caltech36,gender,0.1,0.5657894736842105,0.5
Caltech36,gender,0.2,0.5789473684210527,0.5263157894736842
Caltech36,gender,0.3,0.6228070175438597,0.49122807017543857
Oberlin44,dorm,0.1,0.4589041095890411,5.712328767123288
Oberlin44,dorm,0.2,0.4297945205479452,5.859589041095891
Oberlin44,dorm,0.3,0.4280821917808219,5.700913242009133
Oberlin44,major,0.1,0.10616438356164383,32.31849315068493
Oberlin44,major,0.2,0.11986301369863013,32.602739726027394
Oberlin44,major,0.3,0.11986301369863013,32.432648401826484
Oberlin44,gender,0.1,0.4965753424657534,0.5034246575342466
Oberlin44,gender,0.2,0.5051369863013698,0.4948630136986301
Oberlin44,gender,0.3,0.5045662100456622,0.4954337899543379
Johns Hopkins55,dorm,0.1,0.43106796116504853,11.753398058252428
Johns Hopkins55,dorm,0.2,0.4093113482056256,11.259941804073716
Johns Hopkins55,dorm,0.3,0.40271493212669685,11.842275371687137
Johns Hopkins55,major,0.1,0.09902912621359224,21.712621359223302
Johns Hopkins55,major,0.2,0.0892337536372454,22.17846750727449
Johns Hopkins55,major,0.3,0.08338720103425985,22.574014221073046
Johns Hopkins55,gender,0.1,0.43106796116504853,0.5689320388349515
Johns Hopkins55,gender,0.2,0.4384093113482056,0.5693501454898157
Johns Hopkins55,gender,0.3,0.4738202973497091,0.5423400129282482
Lehigh96,dorm,0.1,0.358974358974359,11.660749506903352
Lehigh96,dorm,0.2,0.36587771203155817,11.756410256410257
Lehigh96,dorm,0.3,0.3576594345825115,12.004602235371467
Lehigh96,major,0.1,0.14792899408284024,36.63116370808679
Lehigh96,major,0.2,0.14497041420118342,36.97140039447732
Lehigh96,major,0.3,0.13872452333990795,37.018408941485866
Lehigh96,gender,0.1,0.40631163708086787,0.5936883629191322
Lehigh96,gender,0.2,0.40433925049309666,0.5956607495069034
Lehigh96,gender,0.3,0.3990795529257068,0.6009204470742933
Bowdoin47,dorm,0.1,0.30666666666666664,10.72888888888889
Bowdoin47,dorm,0.2,0.3,10.802222222222222
Bowdoin47,dorm,0.3,0.3037037037037037,10.954074074074073
Bowdoin47,major,0.1,0.24444444444444444,13.8
Bowdoin47,major,0.2,0.2688888888888889,13.411111111111111
Bowdoin47,major,0.3,0.2874074074074074,13.284444444444444
Bowdoin47,gender,0.1,0.49777777777777776,0.5022222222222222
Bowdoin47,gender,0.2,0.46444444444444444,0.5355555555555556
Bowdoin47,gender,0.3,0.4696296296296296,0.5303703703703704
Mich67,dorm,0.1,0.5053475935828877,3.195187165775401
Mich67,dorm,0.2,0.5220293724966623,3.0587449933244324
Mich67,dorm,0.3,0.5084594835262689,2.9492430988423863
Mich67,major,0.1,0.21390374331550802,41.57219251336898
Mich67,major,0.2,0.2109479305740988,41.50600801068091
Mich67,major,0.3,0.19946571682991987,41.861976847729295
Mich67,gender,0.1,0.7192513368983957,0.32085561497326204
Mich67,gender,0.2,0.6862483311081442,0.3684913217623498
Mich67,gender,0.3,0.686553873552983,0.371326803205699
Tufts18,dorm,0.1,0.3538230884557721,16.01049475262369
Tufts18,dorm,0.2,0.34407796101949023,16.856071964017993
Tufts18,dorm,0.3,0.3543228385807096,16.912543728135933
Tufts18,major,0.1,0.18290854572713644,25.211394302848575
Tufts18,major,0.2,0.18815592203898052,23.42503748125937
Tufts18,major,0.3,0.1904047976011994,23.67766116941529
Tufts18,gender,0.1,0.4482758620689655,0.5517241379310345
Tufts18,gender,0.2,0.46776611694152925,0.5322338830584707
Tufts18,gender,0.3,0.4737631184407796,0.5262368815592204
Hamilton46,dorm,0.1,0.329004329004329,8.493506493506494
Hamilton46,dorm,0.2,0.3463203463203463,8.374458874458874
Hamilton46,dorm,0.3,0.34054834054834054,8.336219336219337
Hamilton46,major,0.1,0.23376623376623376,19.7012987012987
Hamilton46,major,0.2,0.22727272727272727,19.246753246753247
Hamilton46,major,0.3,0.227994227994228,19.29004329004329
Hamilton46,gender,0.1,0.5108225108225108,0.48917748917748916
Hamilton46,gender,0.2,0.49783549783549785,0.5021645021645021
Hamilton46,gender,0.3,0.48773448773448774,0.5122655122655123
Vassar85,dorm,0.1,0.21241830065359477,5.176470588235294
Vassar85,dorm,0.2,0.20554649265905384,5.32300163132137
Vassar85,dorm,0.3,0.2184782608695652,5.103260869565218
Vassar85,major,0.1,0.29411764705882354,17.431372549019606
Vassar85,major,0.2,0.2528548123980424,18.781402936378466
Vassar85,major,0.3,0.24456521739130435,18.714130434782607
Vassar85,gender,0.1,0.5751633986928104,0.42483660130718953
Vassar85,gender,0.2,0.5938009787928222,0.4061990212071778
Vassar85,gender,0.3,0.5673913043478261,0.4326086956521739
Vermont70,dorm,0.1,0.48770491803278687,8.760928961748634
Vermont70,dorm,0.2,0.48633879781420764,8.745218579234972
Vermont70,dorm,0.3,0.4685792349726776,8.865664845173042
Vermont70,major,0.1,0.1885245901639344,35.95765027322405
Vermont70,major,0.2,0.1885245901639344,36.64071038251366
Vermont70,major,0.3,0.18533697632058288,36.17167577413479
Vermont70,gender,0.1,0.5259562841530054,0.47404371584699456
Vermont70,gender,0.2,0.5437158469945356,0.4562841530054645
Vermont70,gender,0.3,0.5387067395264117,0.4612932604735883
Rice31,dorm,0.1,0.41911764705882354,1.8897058823529411
Rice31,dorm,0.2,0.4338235294117647,1.8860294117647058
Rice31,dorm,0.3,0.2826797385620915,2.371732026143791
Rice31,major,0.1,0.07598039215686274,12.0
Rice31,major,0.2,0.08700980392156862,11.686274509803921
Rice31,major,0.3,0.08823529411764706,11.363562091503267
Rice31,gender,0.1,0.5392156862745098,0.48284313725490197
Rice31,gender,0.2,0.44362745098039214,0.5637254901960784
Rice31,gender,0.3,0.5326797385620915,0.48366013071895425
